iter,method,cos2_alpha,cos2_beta,ab_dp,eig1_X,eig2_X,eig1_YA,eig2_YA
1,SR-NN,0.006198777040946926,0.008661022262621358,-0.021535260618255163,468.4703863585526,2.5424315263087514,516.5451957210767,315.5879848268871
1,LASSO Y / LASSO T,0.9745851775617906,0.7789074312406755,0.6350394080005328,,,,
1,Ridge Y / Ridge T,0.1760774996276586,0.2472356965927661,0.057112870948969024,,,,
2,SR-NN,0.13742521826473494,0.008798087054465,0.007768915445905485,284.36002835337996,2.5687504110702264,269.59083829968364,3.3181312074275406
2,LASSO Y / LASSO T,0.9777359113933825,0.8302394947727918,0.5688002695544955,,,,
2,Ridge Y / Ridge T,0.16996872198212284,0.2395682699111755,0.045604431157901956,,,,
3,SR-NN,7.042116456268445e-05,2.432823398915704e-05,-0.021745872896427758,524.9878372368408,0.4019909649929765,594.2036095086877,0.6065279906589696
3,LASSO Y / LASSO T,0.9714986256219663,0.9247654640235695,0.6558378719470717,,,,
3,Ridge Y / Ridge T,0.1771364580564909,0.2654545831710337,0.05479122103352996,,,,
4,SR-NN,0.004444565799139632,9.800247700760571e-05,0.00752302600318153,463.34024125448144,2.4182362917723648,560.9717114184872,177.281106054539
4,LASSO Y / LASSO T,0.970093791296404,0.8290688685785361,0.6843085734482117,,,,
4,Ridge Y / Ridge T,0.16988716349712638,0.19264978654650017,0.04103364184838303,,,,
5,SR-NN,0.01683935541288333,0.001088288522905424,0.02028749218282902,384.1043662132542,249.63100117833022,564.5380938155103,0.42315156631372386
5,LASSO Y / LASSO T,0.9749137434643221,0.8501074071990743,0.6560315693576843,,,,
5,Ridge Y / Ridge T,0.17691271705933567,0.23624876751461585,0.03352982958591076,,,,
6,SR-NN,0.0003870843741612587,0.0024438952263542606,0.013803926874344728,520.304918453136,1.2212616365729405,394.703918363697,3.2915667957281354
6,LASSO Y / LASSO T,0.9685223680891285,0.8818181249783527,0.6447468716977074,,,,
6,Ridge Y / Ridge T,0.15690719967133732,0.20795843993748162,0.054994976114891375,,,,
7,SR-NN,0.004936540019634375,3.253339634819889e-06,0.03356263672478431,161.70476439308842,1.9274201316731798,471.7867980651406,172.8604002664606
7,LASSO Y / LASSO T,0.9716947495129358,0.8741638789388468,0.6292338499823604,,,,
7,Ridge Y / Ridge T,0.17122699029957236,0.22560124497982653,0.030970733178825646,,,,
8,SR-NN,0.0007857913663232074,0.00014650770799068467,0.017900732996674336,376.588349557941,3.6447375212663338,299.14232406933434,1.4985357710252363
8,LASSO Y / LASSO T,0.9727941487089451,0.8254140764189912,0.6131286162434844,,,,
8,Ridge Y / Ridge T,0.1736142453861627,0.27080262477760675,0.05235381215352459,,,,
9,SR-NN,0.0005218370107753098,0.00019677934644113398,0.03253606122633663,385.65674582718856,2.2626657981814158,422.81209713339985,1.4516827225405367
9,LASSO Y / LASSO T,0.9672566044287711,0.9074232762270471,0.6978264586741049,,,,
9,Ridge Y / Ridge T,0.18241252491655888,0.2028004324702422,0.04893221571206736,,,,
